"","Organization","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","Number of Publications"
"11","Havard","MITOCHONDRIAL HOMEOSTASIS IN METABOLICALLY DISTINCT SUBSETS OF B-CELL LYMPHOMA","NCI",8718784,"5F31CA171400-03",5,"F31","CA",171400,3,"",NA,11158254,"STANLEY, ILLANA ALLAKE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30034,NA,NA
"12","Havard","THE BIOCHEMICAL CONTRIBUTIONS OF OVULATION TO FALLOPIAN TUBE TUMORIGENESIS","NCI",8643405,"1F31CA176995-01A1",1,"F31","CA",176995,1,"A1",NA,11117893,"FREELAND, MEGAN MARIE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30080,NA,NA
"13","Havard","GENOMIC AND FUNCTIONAL DISSECTION OF GTPASE-MUTANT MELANOMA","NCI",8737729,"5F31CA171320-02",5,"F31","CA",171320,2,"",NA,10781750,"PLACE, CHELSEA SCHWARTZ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30082,NA,NA
"14","Havard","BEHAVIORAL MEASURES OF ONGOING PAIN IN RODENTS","NINDS",8783193,"1F31NS084716-01A1",1,"F31","NS",84716,1,"A1",NA,10786871,"ROBERSON, DAVID P","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30082,NA,NA
"15","Havard","INTERROGATING THE NEURAL REPRESENTATIONS OF INNATELY AVERSIVE PREDATOR ODORS","NIDCD",8782991,"1F31DC013696-01A1",1,"F31","DC",13696,1,"A1",NA,11676220,"TAN, TARALYN MARIE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30082,NA,NA
"16","Havard","CHARACTERIZING CENTRAL AUDITORY NEURONS IN DROSOPHILA MELANOGASTER","NIDCD",8705252,"5F31DC013220-02",5,"F31","DC",13220,2,"",NA,11378957,"BAKER, ALLISON E.","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30089,NA,NA
"17","Havard","REGULATION OF PACEMAKING AND BURSTING OF SUBSTANTIA NIGRA DOPAMINE NEURONS BY CAL","NINDS",8675295,"5F31NS080323-03",5,"F31","NS",80323,3,"",NA,10514458,"KIMM, CYNTHIA N","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30089,NA,NA
"18","Havard","AGING AND CARDIOPROTECTION BY SKELETAL MUSCLE PGC-1ALPHA IN ENDURANCE EXERCISE","NIA",8707924,"5F31AG041598-03",5,"F31","AG",41598,3,"",NA,10775536,"LIU, LAURA XIAOFEI-ROSE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30089,NA,NA
"19","Havard","ROLE OF THE TRANSCRIPTION FACTOR CDX2 IN INTESTINAL STEM CELLS","NCI",8653426,"5F31CA180784-02",5,"F31","CA",180784,2,"",NA,10300777,"SAN ROMAN, ADRIANNA K","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30089,NA,NA
"20","Havard","ANALYSIS OF PANCREATIC ??-CELL SURVIVAL IN LONG-LASTING TYPE 1 DIABETES PATIENTS","NIDDK",8739021,"5F31DK098931-02",5,"F31","DK",98931,2,"",NA,10872905,"VALDEZ, IVAN ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30089,NA,NA
"21","Havard","ZEBRAFISH MODELS OF MUSCULAR DYSTROPHIES","NINDS",8690187,"5F31NS081928-03",5,"F31","NS",81928,3,"",NA,11117914,"SMITH, LAURA LINDSAY","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,30097,NA,NA
"22","Havard","MECHANISTIC ANALYSIS OF AGE-INDUCED CHANGES IN PROTEIN HEMOSTASIS","NIA",8676430,"5F31AG044967-02",5,"F31","AG",44967,2,"",NA,11344629,"SOLIS, ERIC JOHN","Not Applicable","HARVARD UNIVERSITY",NA,2014,30127,NA,NA
"23","Havard","ORGANOGENESIS OF THE PHARYNX IN C ELEGANS","NIGMS",8889561,"3R37GM056264-18S1",3,"R37","GM",56264,18,"S1",NA,1860974,"MANGO, SUSAN E","Not Applicable","HARVARD UNIVERSITY",NA,2014,33800,NA,"9"
"24","Havard","KATANIN P80: A ROLE FOR REGULATION OF MICROTUBULE SEVERING IN CORTICAL DEVELOPMEN","NINDS",8658299,"5F31NS083111-02",5,"F31","NS",83111,2,"",NA,12103556,"HU, WEN FAN","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34338,NA,NA
"25","Havard","ANALYZING THE EFFICACY OF GALECTIN-1 LIGAND INHIBITION IN ADOPTIVE T CELL THERAPY","NCI",8549713,"5F31CA171520-02",5,"F31","CA",171520,2,"",NA,11194922,"SWEENEY, JENNA GEDDES","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34366,NA,NA
"26","Havard","MECHANISMS OF SENSORY NEURON CONTROL OVER SKIN IMMUNE RESPONSES","NIAMS",8711289,"5F31AR063546-03",5,"F31","AR",63546,3,"",NA,11121465,"ORDOVAS-MONTANES, JOSE MANUEL","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34367,NA,NA
"27","Havard","CHEMICAL SUPPRESSORS OF THE NEURAL CREST LINEAGE FOR THE TREATMENT OF MELANOMA","NCI",8702912,"5F31CA180313-02",5,"F31","CA",180313,2,"",NA,11638634,"CIARLO, CHRISTIE ANNE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34543,NA,NA
"28","Havard","INDUCTION OF TUMOR SUPPRESSOR P16INK4A BY HUMAN PAPILLOMAVIRUS 16 E7 ONCOPROTEIN","NCI",8709168,"1F31CA180012-01A1",1,"F31","CA",180012,1,"A1",NA,11626613,"GWIN, TYSHIA KYREE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34543,NA,NA
"29","Havard","PERTURBATION OF A CELLULAR MICRORNA BY HUMAN PAPILLOMAVIRUS TYPE 16.","NCI",8704721,"5F31CA180516-02",5,"F31","CA",180516,2,"",NA,11626611,"HARDEN, MALLORY ELLEN","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34543,NA,NA
"30","Havard","FUNCTION-SPECIFIC SEROTONERGIC NEURONS AND BODY TEMPERATURE REGULATION.","NINDS",8712658,"1F31NS083165-01A1",1,"F31","NS",83165,1,"A1",NA,10159373,"HENNESSY, MORGAN L","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34543,NA,NA
"31","Havard","IDENTIFYING SIGNALING AND ANTI-APOPTOTIC DEPENDENCIES IN ACUTE MYELOID LEUKEMIA","NCI",8710756,"1F31CA186301-01",1,"F31","CA",186301,1,"",NA,10780588,"HOGDAL, LEAH JUSTINE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34543,NA,NA
"32","Havard","CHARACTERIZING CELL SURVIVAL PATHWAYS DOWNSTREAM OF MTORC1 IN CANCER","NCI",8709172,"1F31CA186295-01",1,"F31","CA",186295,1,"",NA,11652414,"KELSEY, ILANA ASHLEY","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34543,NA,NA
"33","Havard","NEURONAL MECHANISMS OF ATTENTION: CHANGES IN SENSITIVITY AND DECISION CRITERION","NIMH",8712655,"1F31MH103895-01",1,"F31","MH",103895,1,"",NA,11165701,"LUO, ZHIHAO ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34543,NA,NA
"34","Havard","REGULATION OF MITOCHONDRIAL RELEASE FROM MICROTUBULES DURING CELL DIVISION","NIGMS",8724977,"5F31GM108199-02",5,"F31","GM",108199,2,"",NA,11614326,"CHUNG, JAROM Y","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34573,NA,NA
"35","Havard","DISSECTING THE ROLE OF CELLULAR TRANSPORT IN NEURODEGENERATION USING A.NIDULANS","NINDS",8632842,"5F31NS083142-02",5,"F31","NS",83142,2,"",NA,11166459,"MCCLINTOCK, MARK ALAN","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34573,NA,NA
"36","Havard","THE ROLE OF SWI/SNF ALTERNATIVE SPLICING IN CANCER","NCI",8743815,"5F31CA183558-02",5,"F31","CA",183558,2,"",NA,11598282,"OBERLICK, ELAINE MARIE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34785,NA,NA
"37","Havard","EXPLORING THE REGENERATIVE CAPACITY OF NEURONS IN THE AXOLOTL BRAIN.","NINDS",8779976,"1F31NS089336-01",1,"F31","NS",89336,1,"",NA,11614317,"AMAMOTO, RYOJI ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34786,NA,NA
"38","Havard","MECHANISMS UNDERLYING THE SUPPRESSION OF TRANSCYTOSIS AT THE BLOOD BRAIN BARRIER","NINDS",8830634,"1F31NS090669-01",1,"F31","NS",90669,1,"",NA,11632023,"ANDREONE, BENJAMIN JOSEPH","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34786,NA,NA
"39","Havard","INVESTIGATING HOST PROTEIN INTERACTIONS OF THE HUMAN PAPILLOMAVIRUS E2 PROTEIN","NCI",8784626,"1F31CA189512-01",1,"F31","CA",189512,1,"",NA,10857252,"BENTLEY, PERIS NICOLE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34786,NA,NA
"40","Havard","INVESTIGATING THE MECHANISM OF B-MYB DEPENDENT GENE EXPRESSION","NCI",8778414,"1F31CA189328-01",1,"F31","CA",189328,1,"",NA,11978424,"BRANIGAN, TIMOTHY BRUCE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34786,NA,NA
"41","Havard","CELL BIOLOGICAL MECHANISMS OF PACLITAXEL-INDUCED AXONAL DEGENERATION","NINDS",8776529,"1F31NS089152-01",1,"F31","NS",89152,1,"",NA,11629967,"GORNSTEIN, ERICA LYNN","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34786,NA,NA
"42","Havard","TUNING OF INHIBITORY SYNAPTIC TRANSMISSION AT THE PRESYNAPTIC ACTIVE ZONE","NINDS",8776993,"1F31NS089077-01",1,"F31","NS",89077,1,"",NA,11978769,"HELD, RICHARD GUY","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34786,NA,NA
"43","Havard","DISSECTING THE FUNCTIONAL ROLES OF TWO BH3-BINDING SITES ON PRO-APOPTOTIC BAX","NCI",8782999,"1F31CA189651-01",1,"F31","CA",189651,1,"",NA,11958361,"PRITZ, JONATHAN R","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34786,NA,NA
"44","Havard","FUNCTIONAL ANALYSIS OF THE CONSERVED TRANSCRIPTION ELONGATION FACTOR SPN1","NIGMS",8783212,"1F31GM112370-01",1,"F31","GM",112370,1,"",NA,11651221,"REIM RODRIGUEZ, NATALIA ISABEL","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34786,NA,NA
"45","Havard","INVESTIGATING MERKEL CELL POLYOMAVIRUS SMALL T ANTIGEN-HOST INTERACTIONS","NCI",8653425,"5F31CA177274-02",5,"F31","CA",177274,2,"",NA,11482612,"BERRIOS, CHRISTIAN JOSE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34816,NA,NA
"46","Havard","OGLCNAC AS A REGULATOR OF MITOCHONDRIAL MOTILITY IN DIABETIC NEUROPATHY","NINDS",8715417,"5F31NS084629-02",5,"F31","NS",84629,2,"",NA,11621200,"SU, CATHY ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34816,NA,NA
"47","Havard","TODDLER AND APELIN SIGNALING DURING ZEBRAFISH GASTRULATION","NICHD",8784314,"1F31HD081925-01",1,"F31","HD",81925,1,"",NA,11537348,"NORRIS, MEGAN LEIGH","Not Applicable","HARVARD UNIVERSITY",NA,2014,34871,NA,NA
"48","Havard","QUANTIFYING SYNAPTIC REORGANIZATION IN THE DEVELOPING CEREBELLUM USING SERIAL-SECTION SCANNING ELECTRON MICROSCOPY DATA","NINDS",8835694,"1F31NS089223-01A1",1,"F31","NS",89223,1,"A1",NA,12006052,"WILSON, ALYSSA MICHELLE","Not Applicable","HARVARD UNIVERSITY",NA,2014,34950,NA,NA
"49","Havard","ALTERNATIVE END-JOINING IN DNA REPAIR AND CHROMOSOMAL TRANSLOCATIONS","NCI",8784376,"1F30CA189740-01",1,"F30","CA",189740,1,"",NA,11980508,"KUMAR, VIPUL ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34970,NA,NA
"50","Havard","A UBIQUITIN-CONJUGATING ENZYME CRITICAL FOR TERMINAL ERYTHROID DIFFERENTIATION","NHLBI",8779851,"1F30HL124980-01",1,"F30","HL",124980,1,"",NA,10661782,"NGUYEN, ANTHONY T","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34970,NA,NA
"51","Havard","LOW-VALUE MEDICAL CARE: THE ROLE OF PROVIDER ORGANIZATIONS","NIA",8783410,"1F30AG044106-01A1",1,"F30","AG",44106,1,"A1",NA,11321862,"SCHWARTZ, AARON LAWRENCE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34970,NA,NA
"52","Havard","IDENTIFYING CRITICAL FUNCTIONS OF DISC1 DISRUPTED IN MAJOR MENTAL ILLNESS","NIMH",8829379,"1F30MH103890-01A1",1,"F30","MH",103890,1,"A1",NA,10160766,"SRIKANTH, PRIYA ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,34996,NA,NA
"53","Havard","DEFINING THE CD44-STAT3 AXIS IN THE PATHOGENESIS OF TRIPLE-NEGATIVE BREAST CANCER","NCI",8704101,"5F30CA180340-02",5,"F30","CA",180340,2,"",NA,11596137,"YEH, JENNIFER ELYNN","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,35029,NA,NA
"54","Havard","A NOVEL ESSENTIAL GENE FOR HUMAN COGNITIVE FUNCTION","NIMH",8743089,"5F30MH102909-02",5,"F30","MH",102909,2,"",NA,11632011,"COULTER, MICHAEL EDWARD","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,35030,NA,NA
"55","Havard","DESIGNING BIOLOGICAL CIRCUITS","NIGMS",8787340,"3R01GM036373-30S1",3,"R01","GM",36373,30,"S1",NA,1865979,"SILVER, PAMELA A","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,37149,NA,"165"
"56","Havard","ENABLING BIOTECHNOLOGIES TO GENERATE NOVEL PHOSPHOGLYCOLIPID ANTIBIOTICS","FIC",8633483,"5R03TW009424-02",5,"R03","TW",9424,2,"",NA,2206519,"WALKER, SUZANNE ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,38831,NA,"87"
"57","Havard","NEURAL CIRCUITS FOR COMPUTING DOPAMINE PREDICTION ERRORS","NIMH",8841607,"5F30MH100729-02",5,"F30","MH",100729,2,"",NA,10159314,"ESHEL, NEIR ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,41003,NA,NA
"58","Havard","THE ROLE OF AGING IN REGULATORY T CELLS DURING SKELETAL MUSCLE REGENERATION","NIA",8803202,"5F30AG046045-02",5,"F30","AG",46045,2,"",NA,11492780,"KUSWANTO, WILSON F","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,43403,NA,NA
"59","Havard","MOLECULAR ANALYSIS OF THE FUNCTION OF BRCA1-TONSL COMPLEXES","NCI",8629543,"5F30CA167895-03",5,"F30","CA",167895,3,"",NA,8756620,"HILL, SARAH JAMES","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,45318,NA,NA
"60","Havard","ELUCIDATION OF STRUCTURE AND DYNAMICS OF BACTERIAL BIOFILMS BY PARTICLE TRACKING","NIAID",8647359,"1F30AI110053-01",1,"F30","AI",110053,1,"",NA,11729319,"BIRJINIUK, ALONA ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,47676,NA,NA
"61","Havard","ATPIF1 INHIBITION AS A THERAPEUTIC STRATEGY FOR MITOCHONDRIAL DYSFUNCTION","NIA",8733419,"5F30AG046047-02",5,"F30","AG",46047,2,"",NA,11108347,"CHEN, WALTER W","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,47676,NA,NA
"62","Havard","THE ROLE OF SHORT-TERM PLASTICITY AT THE CALYX OF HELD FOR AUDITORY PROCESSING","NIDCD",8737014,"5F30DC013716-02",5,"F30","DC",13716,2,"",NA,10659952,"CHU, YUNXIANG ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,47676,NA,NA
"63","Havard","NETWORK-BASED HEALTH INTERVENTIONS IN RURAL HONDURAS","NIA",8742564,"5F30AG046978-02",5,"F30","AG",46978,2,"",NA,10865161,"HWONG, ALISON R","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,47676,NA,NA
"64","Havard","INVESTIGATING BRANCHED CHAIN AMINO ACID METABOLISM IN PANCREATIC CANCER","NCI",8648288,"1F30CA183474-01",1,"F30","CA",183474,1,"",NA,11108409,"MAYERS, JARED R","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,47676,NA,NA
"65","Havard","THE ROLE OF FOLLICULIN; TUMOR SUPPRESSOR MUTATED IN BHD; IN MTOR NUTRIENT SENSING","NCI",8706663,"5F30CA180754-02",5,"F30","CA",180754,2,"",NA,11108466,"TSUN, ZHI-YANG ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,47676,NA,NA
"66","Havard","ROLE OF THE BRADYKININ PATHWAY IN CRANIOFACIAL DEVELOPMENT","NIDCR",8725637,"5F30DE022989-03",5,"F30","DE",22989,3,"",NA,11183939,"JACOX, LAURA ANNE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,48476,NA,NA
"67","Havard","AMINERGIC REGULATION AND NEUROANATOMY OF SOCIAL STATUS IN DROSOPHILA","NIGMS",8646293,"1F32GM109777-01",1,"F32","GM",109777,1,"",NA,10871671,"GIRALDO, YSABEL MILTON","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,49850,NA,NA
"68","Havard","DEVELOPMENTAL PROCESSES SHAPING THE LUMINAL SURFACE & STEM CELL ZONES IN THE GUT","NIDDK",8836055,"1F32DK103563-01A1",1,"F32","DK",103563,1,"A1",NA,12044684,"LEE, CHANGHEE ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,49850,NA,NA
"69","Havard","SCHIZOPHRENIA INTERNATIONAL RESEARCH SOCIETY SCIENTIFIC CONFERENCE","NIMH",8576468,"5R13MH082446-06",5,"R13","MH",82446,6,"",NA,1893427,"DELISI, LYNN ELEANOR","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,50000,NA,"37"
"70","Havard","CONTINUOUS EVOLUTION OF BOND-FORMING CATALYSTS","NIGMS",8783648,"1F32GM109686-01A1",1,"F32","GM",109686,1,"A1",NA,11740522,"AN, CHIHUI ","Not Applicable","HARVARD UNIVERSITY",NA,2014,51530,NA,NA
"71","Havard","MECHANISMS OF SOUND ENCODING IN THE DROSOPHILA BRAIN","NIDCD",8831868,"1F32DC013928-01A1",1,"F32","DC",13928,1,"A1",NA,9163756,"AZEVEDO, ANTHONY ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,51530,NA,NA
"72","Havard","ROLE OF FAT3 AT THE INTERSECTION OF NEURONAL MORPHOLOGY AND SYNAPSE LOCALIZATION","NEI",8644420,"1F32EY024184-01",1,"F32","EY",24184,1,"",NA,9173850,"HENLE, STEVEN J","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,51530,NA,NA
"73","Havard","FUNCTION AND MECHANISM OF NEURAL SPIKE COHERENCE IN DROSOPHILA","NINDS",8636326,"5F32NS083262-02",5,"F32","NS",83262,2,"",NA,10219991,"JEANNE, JAMES MCCLURE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,51530,NA,NA
"74","Havard","TRANSCRIPTIONAL CONTROL OF RETINAL BIPOLAR NEURON DIVERSIFICATION","NEI",8783469,"1F32EY024833-01",1,"F32","EY",24833,1,"",NA,8946174,"LAPAN, SYLVAIN ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,51530,NA,NA
"75","Havard","FAST AND POWERFUL EXTENSIONS OF MIXED MODEL METHODS FOR GWAS","NHGRI",8712922,"1F32HG007805-01",1,"F32","HG",7805,1,"",NA,11604346,"LOH, PO-RU ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,51530,NA,NA
"76","Havard","DISCOVERY OF POTENTIAL THERAPEUTIC AGENTS FROM INSECT-ASSOCIATED SYMBIOTIC BACTER","NIGMS",8714529,"1F32GM108415-01A1",1,"F32","GM",108415,1,"A1",NA,11436615,"RAMADHAR, TIMOTHY RAMESAR","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,51530,NA,NA
"77","Havard","INVESTIGATING THE ROLE OF MECP2 IN ACTIVITY-DEPENDENT GENE EXPRESSION","NINDS",8782942,"1F32NS089186-01",1,"F32","NS",89186,1,"",NA,8926141,"SU, SUSAN C","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,51530,NA,NA
"78","Havard","SUBSTRATE RECOGNITION BY THE BAM COMPLEX","NIGMS",8712699,"1F32GM108258-01A1",1,"F32","GM",108258,1,"A1",NA,11635207,"WZOREK, JOSEPH ","Not Applicable","HARVARD UNIVERSITY",NA,2014,51530,NA,NA
"79","Havard","EXPLORING THE ROLE OF NEURONAL ACTIVITY-DEPENDENT ENHANCERS IN BRAIN DEVELOPMENT","NINDS",8780856,"1F32NS086270-01A1",1,"F32","NS",86270,1,"A1",NA,10157439,"BOULTING, GABRIELLA L","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,53282,NA,NA
"80","Havard","ELUCIDATING MECHANISMS OF MITOCHONDRIAL GENE EXPRESSION AT NUCLEOTIDE RESOLUTION","NIGMS",8644654,"5F32GM106531-02",5,"F32","GM",106531,2,"",NA,11314570,"COUVILLION, MARY ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,53282,NA,NA
"81","Havard","BEHAVIORAL AND PHYSIOLOGICAL PREDICTORS OF SUICIDAL BEHAVIOR IN ADOLESCENTS","NIMH",8697142,"5F32MH097354-03",5,"F32","MH",97354,3,"",NA,9172546,"GLENN, CATHERINE ROSE","Not Applicable","HARVARD UNIVERSITY",NA,2014,53282,NA,NA
"82","Havard","FINE-MAPPING HERITABILITY AT KNOWN DISEASE LOCI WITH CORRELATED MARKERS","NIGMS",8651765,"5F32GM106584-02",5,"F32","GM",106584,2,"",NA,11504571,"GUSEV, ALEXANDER ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,53282,NA,NA
"83","Havard","PRIMER SYNTHESIS AND HANDOFF BY BACTERIOPHAGE T7 DNA PRIMASE","NIGMS",8654347,"5F32GM101761-03",5,"F32","GM",101761,3,"",NA,11028734,"HERNANDEZ, ALFREDO JOSE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,53282,NA,NA
"84","Havard","THE CHEMICAL BIOLOGY OF NATURALLY OCCURRING REDOX-ACTIVE SMALL MOLECULES","NIGMS",8732475,"5F32GM103010-02",5,"F32","GM",103010,2,"",NA,8833365,"HOBERT, ELISSA ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,53282,NA,NA
"85","Havard","THE ROLE OF ANIMACY AND SIZE IN THE NEURAL ORGANIZATION OF OBJECT KNOWLEDGE","NEI",8685010,"5F32EY022863-02",5,"F32","EY",22863,2,"",NA,11170861,"KONKLE, TALIA ","Not Applicable","HARVARD UNIVERSITY",NA,2014,53282,NA,NA
"86","Havard","DIRECT STIMULATION OF BACTERIAL METABOLISM WITH APPLIED ELECTRICAL CURRENT","NIGMS",8627970,"5F32GM105122-02",5,"F32","GM",105122,2,"",NA,11325355,"MACKELLAR, DREW CARL","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,53282,NA,NA
"87","Havard","SYNAPTIC MECHANISMS OF TOUCH PROCESSING IN DROSOPHILA","NINDS",8782828,"1F32NS089259-01",1,"F32","NS",89259,1,"",NA,12025298,"TUTHILL, JOHN COMBER","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,53282,NA,NA
"88","Havard","DEVELOPMENT OF CATEGORY-SELECTIVE DOMAINS IN INFEROTEMPORAL CORTEX","NEI",8780057,"1F32EY024187-01A1",1,"F32","EY",24187,1,"A1",NA,10098768,"VINCENT, JUSTIN L","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,53282,NA,NA
